"NetID,Pass, Email,Phone,Name,Pronouns"
"asl123456,nprLGEvN*)_+S9xbhADjk,asl123456@utdallas.edu,1234567890,Alan Shaun Lee,he/they"
"jdx654321,3uemTexnnZRwdpH6DcKuSNAu,jdx654321@utdallas.edu,9876543210,Janie Daniela Xia,she/her"
"bmx987654,57980-bD&^Vvfn,bmx987654@utdallas.edu,1122334455,Benjamin Max Xin,he/him"
"cxr567890,FHIASukogh4f3yibvd--=,cxr567890@utdallas.edu,2233445566,Cindy Reed,they/them"
"dly345678,(S&FD89g4ey0vq2-%,dly345678@utdallas.edu,3344556677,David Lucas Young,he/him"
"ekm789012,&x8L*9!zW2nZy$5R,ekm789012@utdallas.edu,4455667788,Emma Katherine Miller,she/her"
"fgn890123,Tj9Mp7sT&Gh1mWxP,fgn890123@utdallas.edu,5566778899,Felix Gabriel Nguyen,he/him"
"goh901234,^y3FbN5%kLp8q+sXw,goh901234@utdallas.edu,6677889900,Grace Olivia Hernandez,she/her"
"hpi012345,CCHS$w9Dr2&y6Ui4Op1@F,hpi012345@utdallas.edu,7788990011,Henry Patrick Ito,he/him"
"iqj123456,!0Tw1D_c7Vf3Gb8Hm,iqj123456@utdallas.edu,8899001122,Isabella Quinn Johnson,she/they"
"jrk234567,v@p7Lm9Jn&2Hb6Vg5F,jrk234567@utdallas.edu,9900112233,Jacob Ryan Kim,he/him"
"ksl345678,****1Cv8Bx5%Zq0Ws9E,ksl345678@utdallas.edu,0011223344,Katherine Sophia Lee,she/her"
"ltm456789,)_t5Yh2Nj9*Mk4Lp3O,ltm456789@utdallas.edu,1122334455,Lucas Thomas Martinez,he/him"
"mun567890,-7Xs4Ve8&Df2Fg6H,mun567890@utdallas.edu,2233445566,Maya Uma Nelson,she/they/him"
"nvo678901,3Kf6Dg1$Ss9Aw5Q,nvo678901@utdallas.edu,3344556677,Nathan Victor Owens,he/him"
"owp789012,Zp2Xc7V7&bs,owp789012@utdallas.edu,4455667788,Olivia Willow Patel,she/her"
"pxq890123,)5Nm8Ks3&Lp1Jh6G,pxq890123@utdallas.edu,5566778899,Parker Xavier Quinn,they/them"
"qyr901234,(1Zq7Ws9$Ed0Rf5T,qyr901234@utdallas.edu,6677889900,Quinn Yara Rodriguez,she/her"
"rzs012345,8Gh2Jk5^Lp0Zm9X,rzs012345@utdallas.edu,7788990011,Ryan Zoe Smith,he/him"
"sat123456,=3Qe6Rt1%Yu8Ii4O,sat123456@utdallas.edu,8899001122,Sophia Ava Taylor,she/her"
"tbu234567,*4Ty9Ui2*Op5As8D,tbu234567@utdallas.edu,9900112233,Tyler Benjamin Upton,he/him"
"ucv345678,Ii0Op3&As6Df9G,ucv345678@utdallas.edu,0011223344,Uma Claire Vance,she/they"
"vdw456789,apifgjb$1Ui5Op9$As2Df7G,vdw456789@utdallas.edu,1122334455,Vincent Daniel Wilson,he/him"
"wex567890,As5^Df0Gh8J,wex567890@utdallas.edu,2233445566,Willow Elizabeth Xu,she/her"
"xfy678901,@4As7Df2&Gh9Jk1L,xfy678901@utdallas.edu,3344556677,Xavier Felix Yang,he/they/she"
"ygz789012,abc123321cba,ygz789012@utdallas.edu,4455667788,Yara Grace Zhang,she/her"
"zha890123,FG2Gh7Jk4^Ll8Pp0Q,zha890123@utdallas.edu,5566778899,Zachary Henry Adams,he/him"
"aib901234,T9Ll3Pp5&Qq2Rr7S,aib901234@utdallas.edu,6677889900,Aria Ivy Brown,she/they"
"bjc012345,)_7Pp4Qq1*Rr6Ss9T,bjc012345@utdallas.edu,7788990011,Benjamin Jacob Carter,he/him"
"ckd123456,=1Qq8Rr5$Ss0Tt3U,ckd123456@utdallas.edu,8899001122,Chloe Katherine Davis,she/her"
"dle234567,+6Rr4Ss9^Tt2Uu5V,dle234567@utdallas.edu,9900112233,Daniel Lucas Evans,he/him"
"emf345678,THISISEMMA_,emf345678@utdallas.edu,0011223344,Emma Madison Foster,she/her"
"fng456789,Tt2Uu7$Vv1Ww4X,fng456789@utdallas.edu,1122334455,Finn Noah Garcia,he/they"
"goh567890,=5Uu8Vv3^Ww2Xx9Y,goh567890@utdallas.edu,2233445566,Gabriella Olivia Hall,she/her"
"hpi678901,123password,hpi678901@utdallas.edu,3344556677,Henry Parker Irving,he/him"
"iqj789012,*7Ww3Xx5$Yy9Zz2A,iqj789012@utdallas.edu,4455667788,Isla Quinn Jackson,they/them"
"jrk890123,^5Xx8Yy4^Zz1Aa6B,jrk890123@utdallas.edu,5566778899,Jacob Ryan King,he/him"
"ksl901234,A22Yy6Zz9&Aa4Bb3C,ksl901234@utdallas.edu,6677889900,Kayla Sophia Lee,she/her"
"ltm012345,ZzZzZzZzZ,ltm012345@utdallas.edu,7788990011,Logan Thomas Moore,he/him"
"mun123456,a8Bb6^Cc0Dd9E,mun123456@utdallas.edu,8899001122,Mia Uma Nelson,she/they"
